DeliveryID,DateKey,ProductID,DistributionCenterID,CarrierID,DeliveredOrders,DelayedOrders,ReturnedOrders,Revenue,AverageDeliveryDays,PenaltyCost
1411,20240214,3,1,2,71,5,0,73637.46,2.5,287.53
1470,20240214,9,5,5,103,5,2,53647.66,3.0,383.51
1615,20240214,4,2,3,65,8,6,37092.86,3.1,533.91
1889,20240214,10,5,1,53,6,3,93865.53,2.8,431.98
2373,20240214,3,6,1,75,10,1,69013.4,5.1,671.01
2002,20240215,2,1,4,58,11,0,71111.87,5.8,945.72
36,20240216,7,4,1,68,6,3,48554.27,2.2,561.65
2129,20240216,6,5,3,120,11,0,254944.42,3.3,872.2
279,20240217,7,5,4,70,13,2,54787.23,4.7,630.85
1456,20240217,9,1,4,36,3,1,18855.38,5.0,273.51
2331,20240217,12,2,4,38,6,3,25900.16,5.8,484.52
518,20240218,12,1,4,78,19,1,51778.96,3.6,1792.51
1035,20240218,3,2,2,23,2,1,24065.9,2.3,134.94
45,20240219,8,5,4,65,10,2,53728.49,3.9,753.48
387,20240219,4,6,5,66,9,6,39961.86,3.3,418.44
1362,20240219,7,2,1,17,0,0,12031.94,4.9,0.0
1769,20240219,7,1,2,105,3,1,85083.25,2.6,231.42
2312,20240219,10,5,3,82,3,4,134425.11,4.5,109.87
2232,20240220,4,5,1,78,12,6,44526.07,2.6,872.6
899,20240221,7,5,1,89,5,1,70685.83,4.2,220.05
659,20240222,5,4,1,68,6,2,97401.01,2.5,490.48
1022,20240222,10,5,2,60,1,3,108285.09,2.6,45.6
1834,20240222,4,5,3,102,9,9,58277.16,3.4,739.34
1953,20240222,7,4,2,88,6,2,70068.1,3.2,531.28
2025,20240223,4,4,1,83,11,7,48661.07,4.8,699.88
1215,20240224,10,4,4,31,6,0,57846.9,5.0,493.07
1253,20240224,5,3,4,112,12,4,163901.33,3.7,613.57
1911,20240224,7,2,1,49,5,4,37318.79,3.4,474.33
69,20240225,1,6,3,33,3,1,26466.01,3.2,214.73
1027,20240226,6,1,4,45,10,2,88298.53,6.9,397.3
1055,20240226,10,3,5,41,1,0,72275.12,3.4,83.95
127,20240227,6,3,2,114,5,1,234036.13,4.1,344.65
217,20240227,12,1,5,41,2,1,28710.66,4.4,145.63
1588,20240227,1,5,4,16,2,0,13287.29,4.8,84.23
1096,20240228,7,5,4,94,12,6,70105.16,6.1,1138.63
1571,20240228,6,6,3,62,7,0,120037.37,4.7,378.63
439,20240229,3,6,5,116,20,0,106014.46,6.3,1811.63
1851,20240229,6,2,1,97,6,1,209086.22,4.1,355.2
280,20240301,5,4,3,34,0,1,46882.25,5.5,0.0
1361,20240301,3,2,5,95,8,1,96366.06,2.1,641.71
246,20240302,1,3,5,44,1,0,36620.62,2.2,35.11
431,20240302,12,1,2,21,3,0,15024.27,1.6,150.8
678,20240302,10,5,3,39,3,1,69601.9,1.6,154.73
1122,20240302,4,5,3,83,7,2,48913.81,4.3,479.16
1328,20240302,7,6,5,93,9,1,70860.86,2.2,418.49
7,20240303,5,3,5,48,3,1,74451.69,3.1,178.71
881,20240303,2,2,5,44,4,0,56705.81,5.8,160.67
1256,20240303,6,6,1,101,15,3,208320.62,5.0,1331.05
2366,20240303,2,3,5,102,5,2,121752.02,3.1,203.24
753,20240304,3,4,5,41,1,2,39737.14,4.6,42.48
2317,20240304,11,4,3,59,3,1,66236.54,3.3,142.44
196,20240305,2,2,1,68,4,1,82161.93,4.0,195.73
728,20240305,11,2,2,59,5,0,65706.53,3.7,420.06
1543,20240305,12,4,5,101,5,0,67798.02,3.6,421.73
1721,20240305,9,1,4,93,14,1,48128.6,5.1,1248.04
1,20240306,1,4,4,75,12,3,59275.8,5.4,538.89
172,20240306,12,3,1,104,6,4,71942.73,5.4,322.63
695,20240306,11,5,4,97,11,2,115031.52,4.7,568.12
1531,20240306,9,1,3,95,2,0,49668.99,1.4,173.7
1809,20240306,3,1,1,85,5,1,79241.04,3.5,357.01
1931,20240306,3,5,3,87,3,0,90175.07,2.9,196.46
133,20240307,12,6,2,78,12,0,49847.4,5.8,435.75
359,20240307,5,1,1,47,3,0,70543.8,4.0,159.49
826,20240307,10,5,5,117,8,6,198858.03,3.0,683.89
1633,20240307,4,2,5,30,0,4,18611.71,4.0,0.0
2033,20240307,11,3,3,41,4,3,42412.35,3.2,193.39
33,20240308,2,3,3,38,1,1,42524.99,1.9,93.56
910,20240308,12,5,5,94,7,1,59781.46,4.2,657.11
2082,20240308,4,2,2,54,3,2,35724.69,3.8,170.58
2340,20240308,7,2,4,99,17,0,71430.59,5.7,663.04
10,20240309,1,5,5,101,9,2,83124.43,5.1,382.88
581,20240309,9,1,3,101,4,3,54832.27,2.7,173.85
951,20240309,2,6,5,119,17,2,144337.37,5.6,1307.61
1690,20240309,12,1,1,81,4,0,54970.21,3.9,325.36
243,20240310,3,3,3,84,2,1,86334.44,4.0,96.03
376,20240310,4,1,1,35,3,4,23161.09,3.8,234.26
674,20240310,10,2,2,20,1,2,33056.09,3.6,94.93
700,20240310,4,1,2,44,9,3,27150.09,3.2,663.93
791,20240310,1,1,2,26,2,0,22703.68,3.5,161.24
977,20240310,7,3,1,105,8,0,85527.78,3.7,656.65
2266,20240310,10,3,2,47,4,1,76442.54,4.6,266.81
218,20240311,1,4,3,87,6,3,73131.22,4.9,332.93
1842,20240311,4,1,1,95,7,5,58101.76,5.7,483.96
2306,20240311,3,3,2,63,3,1,64707.23,2.4,281.6
87,20240312,3,5,4,88,14,3,80174.33,5.2,1324.54
588,20240313,10,6,3,53,5,4,90329.73,5.0,462.75
1738,20240313,4,6,5,84,15,1,50603.24,5.0,530.21
1788,20240313,3,3,1,105,8,4,105209.73,3.7,738.98
2321,20240313,7,4,2,106,10,0,86121.03,5.9,399.16
891,20240314,5,3,3,106,4,0,147871.96,3.2,302.85
1880,20240314,11,4,2,55,2,1,55998.26,3.1,83.45
580,20240315,6,4,2,45,4,1,93878.11,4.8,182.57
1289,20240315,12,3,3,44,2,0,28665.93,3.8,176.29
1436,20240315,9,5,4,35,4,2,20320.57,6.9,266.36
258,20240316,4,5,4,90,14,5,55037.83,4.8,555.47
1359,20240316,1,5,3,84,7,0,72868.11,2.4,472.56
1450,20240316,3,2,2,44,2,0,44915.69,3.1,104.82
516,20240317,6,4,3,73,3,2,158020.56,4.5,154.6
1166,20240317,4,1,4,98,21,4,60937.71,5.5,1119.14
1730,20240317,6,3,1,37,1,0,76151.12,3.6,52.29
1827,20240317,6,5,5,117,5,1,255012.38,4.4,463.87
2177,20240317,1,5,3,93,5,0,82914.34,2.1,366.54
171,20240318,10,6,4,28,11,1,48216.69,6.5,602.26
460,20240318,6,2,4,17,3,1,35949.77,4.1,178.66
818,20240318,6,2,1,22,2,2,48320.51,3.8,135.89
1855,20240318,5,1,5,120,5,1,180409.43,1.7,284.74
2265,20240318,4,1,1,105,9,3,68509.98,3.8,729.54
322,20240319,9,4,5,31,2,0,17957.24,4.6,184.78
583,20240319,10,3,5,16,0,1,26887.62,2.7,0.0
1227,20240319,10,3,2,77,10,4,134998.31,4.1,356.42
310,20240320,11,2,3,39,5,1,40201.07,3.4,253.65
480,20240320,12,2,2,95,8,2,64617.57,4.7,498.54
1272,20240320,2,5,1,24,2,0,29060.85,4.4,179.39
808,20240321,10,4,2,63,2,5,102826.41,4.8,137.94
1538,20240321,6,1,1,35,5,1,72891.63,4.9,327.17
1816,20240321,12,1,1,103,11,0,67524.49,3.7,870.4
1466,20240322,10,1,1,69,6,1,111989.01,4.6,524.8
1484,20240322,6,2,1,73,3,2,154464.39,6.2,279.53
1489,20240322,2,2,3,19,7,0,23589.53,3.8,269.07
1867,20240322,5,1,5,96,7,0,147922.71,2.0,319.98
2244,20240322,1,6,3,15,1,0,13003.37,3.9,70.62
1579,20240323,7,4,1,114,9,0,85561.01,3.8,424.39
120,20240324,12,4,1,44,0,2,30959.81,2.3,0.0
501,20240324,7,1,3,100,9,1,80242.05,2.4,716.11
873,20240324,8,6,4,92,21,0,78155.59,7.9,1343.12
1216,20240324,6,1,1,32,1,0,68111.76,5.0,44.37
1321,20240324,8,2,3,82,8,1,78204.35,3.3,289.52
365,20240325,3,3,2,83,3,4,86333.23,4.0,118.7
538,20240325,9,4,4,44,10,0,24188.84,4.9,475.03
1020,20240325,4,4,3,44,4,3,28521.52,2.6,348.38
2214,20240325,7,3,1,82,7,1,64208.99,4.2,601.9
2215,20240325,7,3,3,29,2,1,21860.49,4.7,115.16
726,20240326,11,1,4,28,6,0,32135.2,4.9,532.65
198,20240327,9,5,1,109,4,2,61711.88,4.5,163.98
313,20240327,12,6,3,60,8,0,40788.2,6.7,557.89
497,20240327,8,1,3,117,7,1,106498.75,4.0,277.53
778,20240327,4,6,5,109,18,6,67524.33,3.7,851.53
1946,20240327,7,6,1,40,4,0,29943.89,4.7,156.97
2269,20240327,9,4,5,25,0,1,12734.79,3.5,0.0
2364,20240327,3,5,5,72,2,0,66995.23,2.7,174.32
724,20240328,8,6,1,114,9,1,94574.08,4.2,609.8
863,20240328,9,6,1,16,1,0,8854.84,4.9,87.89
946,20240328,10,1,3,102,7,5,173073.59,5.0,537.55
1050,20240328,6,1,5,30,1,1,61666.76,2.2,83.53
1157,20240328,9,2,5,32,1,1,16471.98,3.0,76.34
1343,20240328,12,4,3,83,5,2,52436.09,3.2,320.49
1619,20240329,3,6,4,46,12,0,43619.41,6.1,566.79
1876,20240329,10,6,5,85,17,1,142399.4,4.7,991.2
386,20240330,2,4,1,89,10,1,102026.61,3.0,654.41
418,20240330,11,4,5,89,4,1,95887.15,2.3,181.82
783,20240330,9,5,3,37,2,3,21489.56,2.8,177.22
784,20240330,1,1,3,87,5,2,77219.86,3.6,440.72
436,20240331,7,6,2,66,11,0,52085.0,4.8,940.34
1238,20240331,6,2,5,30,2,1,58661.36,2.9,122.91
1605,20240331,10,5,3,45,1,5,75056.32,5.9,36.7
874,20240401,5,4,2,34,0,1,47694.3,4.5,0.0
1928,20240401,6,4,5,113,5,1,253815.5,3.2,228.23
2080,20240401,7,4,2,36,0,1,26566.18,2.1,0.0
157,20240402,10,1,2,49,3,4,92440.43,3.6,165.75
1610,20240402,2,6,3,73,11,0,93417.34,3.7,979.45
1630,20240402,5,1,2,81,7,2,110180.47,3.4,614.2
18,20240403,4,2,1,61,9,3,40586.97,4.2,551.69
221,20240403,11,6,4,99,22,3,113563.37,8.0,1863.63
759,20240403,9,4,5,117,7,3,63623.47,4.4,624.86
1005,20240403,5,2,3,94,2,0,136701.75,3.8,115.38
1805,20240403,4,3,4,103,20,5,67999.22,6.3,1427.95
74,20240404,3,4,5,22,0,1,20637.69,3.9,0.0
705,20240404,9,4,4,119,19,3,59156.67,7.2,1063.59
945,20240404,7,1,4,78,14,3,55985.75,5.0,1144.59
2006,20240404,11,4,5,95,8,2,112001.53,4.4,725.71
2104,20240404,10,4,5,106,5,5,193368.13,2.5,195.22
434,20240405,7,2,3,68,4,1,51174.42,3.2,348.67
1776,20240405,5,3,1,35,1,0,48952.16,2.6,54.69
2085,20240405,6,1,1,79,3,0,158907.85,2.0,110.64
414,20240406,12,4,4,97,15,4,70046.48,6.3,1107.42
443,20240406,10,6,3,54,5,2,93942.23,2.9,474.03
670,20240406,1,2,3,107,6,2,84239.9,3.4,433.78
1645,20240406,5,1,3,72,4,1,106166.1,2.5,372.28
1926,20240406,5,4,2,93,1,1,133470.7,2.0,67.68
604,20240408,12,4,5,46,5,0,32160.14,4.3,380.09
948,20240408,2,2,1,106,7,2,134523.75,1.4,534.24
1358,20240408,7,4,2,75,4,2,52645.48,2.7,274.63
1819,20240408,7,2,1,80,5,2,63505.0,1.8,196.78
1895,20240408,12,1,2,114,3,1,80639.13,5.1,226.0
2207,20240408,3,4,5,97,10,2,93534.8,5.5,544.86
823,20240409,10,2,5,107,7,6,181294.22,4.1,578.31
682,20240410,10,1,1,80,3,0,135072.59,2.9,242.17
1342,20240410,4,1,5,82,8,7,49930.06,2.6,647.42
1836,20240410,1,1,2,120,9,1,102418.66,3.9,756.79
2234,20240410,3,4,2,99,9,4,103714.9,3.9,722.0
2378,20240410,9,5,1,115,7,1,61736.14,5.4,660.9
721,20240411,8,3,2,118,4,1,96882.0,4.3,206.32
1528,20240411,2,5,5,33,0,0,38136.28,3.7,0.0
2108,20240411,8,1,1,41,2,1,36534.08,4.2,101.94
2210,20240411,6,5,1,64,5,2,144869.2,2.7,289.04
100,20240412,12,4,5,97,3,0,64936.17,4.1,187.43
118,20240412,7,2,5,17,0,0,12975.85,2.2,0.0
241,20240412,3,3,1,119,8,1,112615.26,3.1,308.4
306,20240412,4,4,3,40,2,0,24516.86,2.0,74.01
462,20240412,12,1,3,15,1,0,9485.15,3.3,87.25
620,20240412,9,4,5,103,1,3,56963.96,2.2,60.76
769,20240412,10,2,1,51,3,3,96294.82,3.6,253.99
1445,20240412,12,5,1,37,2,0,25955.8,5.0,163.67
329,20240413,7,5,5,37,5,0,27142.27,3.2,200.08
1090,20240413,9,2,3,46,4,2,25232.92,5.9,362.08
834,20240414,1,2,2,54,1,0,47907.61,4.6,67.93
1187,20240414,6,6,4,15,4,0,32340.69,5.7,353.12
1963,20240414,6,1,4,106,20,1,209359.4,6.5,873.32
256,20240415,7,6,2,66,13,1,53658.43,4.5,950.83
408,20240415,4,5,1,32,0,3,20208.82,5.6,0.0
528,20240415,4,2,2,30,2,2,18920.33,4.7,106.98
1063,20240415,11,4,4,42,9,0,46789.76,4.6,836.57
1612,20240415,11,3,3,73,4,3,81972.62,4.0,274.73
2302,20240415,1,6,1,51,8,0,42403.13,4.8,568.73
522,20240416,10,6,3,32,3,1,52858.53,3.6,206.19
924,20240416,8,4,4,77,10,2,68021.43,5.9,857.17
1935,20240417,12,2,2,103,4,3,75025.57,2.2,239.03
2330,20240417,8,6,3,88,7,2,76380.5,3.9,608.45
457,20240418,7,1,5,92,7,0,67340.64,2.8,607.87
752,20240418,3,3,2,20,1,0,20238.26,3.3,54.57
938,20240418,1,6,5,112,16,0,96408.61,6.5,673.88
975,20240418,9,3,1,79,3,0,41605.53,3.1,278.59
1575,20240418,2,1,3,22,0,1,27953.34,5.4,0.0
1607,20240418,4,5,3,62,10,3,39004.12,2.2,908.94
1524,20240419,6,6,3,53,9,1,112863.96,4.5,527.45
1677,20240419,12,2,2,66,8,1,44684.24,3.9,543.55
1698,20240419,2,6,3,61,5,3,75965.32,4.8,399.67
2063,20240419,8,2,1,108,4,3,102001.36,2.3,303.92
273,20240420,11,2,2,97,6,2,103545.56,3.6,311.49
357,20240420,11,6,5,96,12,0,101635.23,3.6,1018.29
1104,20240420,3,5,3,94,6,1,93856.92,3.4,396.01
1481,20240420,11,1,5,24,2,0,25454.41,5.7,131.06
182,20240421,6,6,1,38,5,1,82499.94,3.7,402.84
1970,20240421,7,2,4,40,6,0,31350.49,4.9,268.62
2008,20240421,3,6,4,74,24,2,75037.31,7.8,1454.83
2013,20240421,5,3,5,108,5,4,153362.98,2.1,248.51
58,20240422,12,4,4,98,16,5,65478.04,4.7,723.73
390,20240422,11,2,3,78,4,1,88007.36,3.4,223.39
536,20240422,3,1,2,52,3,0,51022.64,1.3,237.65
961,20240422,12,1,1,95,5,1,60964.23,3.6,295.08
1046,20240422,9,1,5,106,6,1,54272.9,3.9,289.46
1229,20240422,11,4,3,89,4,4,99866.46,3.3,346.54
1537,20240422,7,4,3,93,4,2,72040.79,3.4,330.04
2222,20240422,12,6,4,116,24,3,73932.3,7.1,2207.89
2308,20240422,7,4,3,19,2,1,14244.27,1.9,180.4
533,20240423,2,3,2,119,5,4,132185.89,3.2,271.72
884,20240423,2,3,4,46,7,2,52541.7,4.8,353.19
1406,20240423,11,6,5,26,4,0,27829.91,3.8,331.62
2249,20240423,4,5,4,47,7,3,30682.38,6.8,453.42
847,20240424,10,6,3,61,13,4,112454.84,5.4,581.39
1655,20240424,1,3,3,80,6,1,66930.41,5.5,255.79
1947,20240424,1,1,4,119,24,5,98558.31,5.5,1117.49
750,20240425,2,5,1,33,3,0,40084.35,3.1,233.06
937,20240425,7,2,5,28,1,0,22006.39,3.3,55.58
1695,20240426,12,2,3,102,8,4,68148.31,5.3,412.28
83,20240427,3,3,4,61,10,3,57195.38,5.1,388.1
178,20240427,6,1,4,56,8,1,114548.74,4.9,666.58
287,20240427,3,5,5,81,5,2,80514.33,3.0,345.37
1854,20240427,5,3,4,83,10,4,114572.97,7.0,602.65
1908,20240427,10,2,4,94,23,1,168794.96,6.3,1362.26
1487,20240428,1,1,1,61,0,2,50516.14,2.4,0.0
1556,20240428,12,3,1,86,7,1,62424.67,3.6,322.82
2095,20240428,4,5,1,107,12,8,67239.11,3.4,816.23
2369,20240428,2,3,2,81,5,1,91965.91,3.5,256.46
1076,20240429,3,1,5,85,3,1,77283.28,2.5,140.61
1778,20240429,9,1,2,96,7,3,49018.8,2.6,643.29
1936,20240429,6,4,1,80,3,1,163798.36,4.6,111.34
41,20240430,5,5,3,52,3,0,79083.08,3.3,159.36
350,20240430,12,4,4,76,14,3,49449.91,5.0,1299.04
623,20240430,5,1,1,59,6,1,88190.42,1.4,556.27
1596,20240430,5,1,4,58,8,1,78633.54,4.0,285.0
1637,20240430,9,5,2,117,6,2,62309.13,5.1,281.38
1850,20240430,5,4,4,99,16,5,134442.44,7.3,1392.39
1941,20240430,1,1,3,101,6,4,86962.05,4.9,449.92
187,20240501,5,6,4,70,18,2,107931.82,6.4,1582.09
467,20240501,4,4,3,97,14,7,57114.23,1.8,797.25
532,20240501,9,5,2,69,4,2,34912.61,3.1,368.31
1078,20240501,7,2,4,102,20,6,78656.62,5.9,1111.04
168,20240502,8,3,3,51,3,1,45761.13,3.3,182.19
703,20240502,1,1,2,30,2,1,24690.99,3.9,106.13
2200,20240502,9,6,4,21,4,1,11860.11,6.9,164.36
2297,20240502,1,1,2,71,3,2,59206.4,3.5,216.96
2328,20240502,11,2,3,47,1,1,52974.01,3.3,94.29
685,20240503,5,4,5,74,7,2,113662.73,2.6,632.57
262,20240504,10,4,5,95,3,1,158851.09,4.6,267.3
1193,20240504,12,5,5,47,6,0,33518.15,3.1,416.39
704,20240505,6,5,5,24,0,0,50294.91,4.7,0.0
1433,20240505,10,1,3,80,4,0,149022.31,2.8,140.76
2051,20240505,11,3,4,67,12,1,70707.7,4.3,919.31
2103,20240505,12,5,3,104,2,2,75124.6,2.3,106.03
908,20240506,2,2,3,100,7,1,122190.49,4.0,250.62
1032,20240506,10,1,2,56,2,3,94345.61,3.8,110.45
1616,20240506,2,1,2,78,6,0,95660.96,3.4,435.92
411,20240507,7,1,1,84,9,4,59547.05,3.7,604.17
544,20240507,3,3,2,51,0,0,51868.05,3.9,0.0
259,20240508,9,2,1,53,3,0,28971.46,3.5,277.0
761,20240508,2,3,2,62,4,1,70703.18,3.5,310.13
